pgc_name,full_pgc_name,hubb,E,Irr,S0,SBa,SBb,SBc,Sa,Sb,Sc
PGC 39138  ,PGC0039138,SBa,0,0,0,1,0,0,0,0,0
PGC 36944  ,PGC0036944,E,1,0,0,0,0,0,0,0,0
PGC 40629  ,PGC0040629,Sa,0,0,0,0,0,0,1,0,0
PGC 39170  ,PGC0039170,SBc,0,0,0,0,0,1,0,0,0
PGC 39348  ,PGC0039348,Sb,0,0,0,0,0,0,0,1,0
PGC 50229  ,PGC0050229,Sa,0,0,0,0,0,0,1,0,0
PGC 37791  ,PGC0037791,Sc,0,0,0,0,0,0,0,0,1
PGC 37778  ,PGC0037778,E,1,0,0,0,0,0,0,0,0
PGC 52654  ,PGC0052654,SBb,0,0,0,0,1,0,0,0,0
PGC 51471  ,PGC0051471,Sa,0,0,0,0,0,0,1,0,0
PGC 50782  ,PGC0050782,Sa,0,0,0,0,0,0,1,0,0
PGC 36707  ,PGC0036707,Sc,0,0,0,0,0,0,0,0,1
PGC 35877  ,PGC0035877,Sb,0,0,0,0,0,0,0,1,0
PGC 47680  ,PGC0047680,Sb,0,0,0,0,0,0,0,1,0
PGC 39897  ,PGC0039897,E,1,0,0,0,0,0,0,0,0
PGC 42909  ,PGC0042909,Sc,0,0,0,0,0,0,0,0,1
PGC 40561  ,PGC0040561,SBa,0,0,0,1,0,0,0,0,0
PGC 37016  ,PGC0037016,S0,0,0,1,0,0,0,0,0,0
PGC 35914  ,PGC0035914,E,1,0,0,0,0,0,0,0,0
PGC 41982  ,PGC0041982,Sc,0,0,0,0,0,0,0,0,1
PGC 41514  ,PGC0041514,Sb,0,0,0,0,0,0,0,1,0
PGC 55281  ,PGC0055281,Sb,0,0,0,0,0,0,0,1,0
PGC 35896  ,PGC0035896,Sa,0,0,0,0,0,0,1,0,0
PGC 36998  ,PGC0036998,Sa,0,0,0,0,0,0,1,0,0
PGC 35901  ,PGC0035901,SBb,0,0,0,0,1,0,0,0,0
PGC 36257  ,PGC0036257,SBa,0,0,0,1,0,0,0,0,0
PGC 35819  ,PGC0035819,Sc,0,0,0,0,0,0,0,0,1
PGC 38946  ,PGC0038946,Sb,0,0,0,0,0,0,0,1,0
PGC 36208  ,PGC0036208,Sa,0,0,0,0,0,0,1,0,0
PGC 36145  ,PGC0036145,SBa,0,0,0,1,0,0,0,0,0
PGC 40145  ,PGC0040145,Sb,0,0,0,0,0,0,0,1,0
PGC 37147  ,PGC0037147,Sa,0,0,0,0,0,0,1,0,0
PGC 37708  ,PGC0037708,SBc,0,0,0,0,0,1,0,0,0
PGC 47566  ,PGC0047566,Sa,0,0,0,0,0,0,1,0,0
PGC 40031  ,PGC0040031,E,1,0,0,0,0,0,0,0,0
PGC 54761  ,PGC0054761,SBa,0,0,0,1,0,0,0,0,0
PGC 50587  ,PGC0050587,SBc,0,0,0,0,0,1,0,0,0
PGC 36489  ,PGC0036489,Sc,0,0,0,0,0,0,0,0,1
PGC 35747  ,PGC0035747,SBa,0,0,0,1,0,0,0,0,0
PGC 42782  ,PGC0042782,SBc,0,0,0,0,0,1,0,0,0
PGC 38852  ,PGC0038852,Sb,0,0,0,0,0,0,0,1,0
PGC 46717  ,PGC0046717,SBb,0,0,0,0,1,0,0,0,0
PGC 38585  ,PGC0038585,Sb,0,0,0,0,0,0,0,1,0
PGC 35682  ,PGC0035682,Sc,0,0,0,0,0,0,0,0,1
PGC 36368  ,PGC0036368,SBb,0,0,0,0,1,0,0,0,0
PGC 41941  ,PGC0041941,Sa,0,0,0,0,0,0,1,0,0
PGC 37352  ,PGC0037352,Sc,0,0,0,0,0,0,0,0,1
PGC 35538  ,PGC0035538,Sc,0,0,0,0,0,0,0,0,1
PGC 35692  ,PGC0035692,Sa,0,0,0,0,0,0,1,0,0
PGC 37678  ,PGC0037678,Sb,0,0,0,0,0,0,0,1,0
PGC 42195  ,PGC0042195,Irr,0,1,0,0,0,0,0,0,0
PGC 51603  ,PGC0051603,SBc,0,0,0,0,0,1,0,0,0
PGC 35932  ,PGC0035932,Sb,0,0,0,0,0,0,0,1,0
PGC 49234  ,PGC0049234,Sb,0,0,0,0,0,0,0,1,0
PGC 45567  ,PGC0045567,SBc,0,0,0,0,0,1,0,0,0
PGC 38036  ,PGC0038036,Sb,0,0,0,0,0,0,0,1,0
PGC 37655  ,PGC0037655,E,1,0,0,0,0,0,0,0,0
PGC 46218  ,PGC0046218,Sc,0,0,0,0,0,0,0,0,1
PGC 36887  ,PGC0036887,Sc,0,0,0,0,0,0,0,0,1
PGC 36726  ,PGC0036726,SBb,0,0,0,0,1,0,0,0,0
PGC 38718  ,PGC0038718,S0,0,0,1,0,0,0,0,0,0
PGC 49306  ,PGC0049306,Sa,0,0,0,0,0,0,1,0,0
PGC 41998  ,PGC0041998,Sc,0,0,0,0,0,0,0,0,1
PGC 35170  ,PGC0035170,SBb,0,0,0,0,1,0,0,0,0
PGC 52998  ,PGC0052998,Sc,0,0,0,0,0,0,0,0,1
PGC 47503  ,PGC0047503,Sa,0,0,0,0,0,0,1,0,0
PGC 36614  ,PGC0036614,E,1,0,0,0,0,0,0,0,0
PGC 35400  ,PGC0035400,E,1,0,0,0,0,0,0,0,0
PGC 47432  ,PGC0047432,Sb,0,0,0,0,0,0,0,1,0
PGC 44254  ,PGC0044254,Sb,0,0,0,0,0,0,0,1,0
PGC 50430  ,PGC0050430,Sb,0,0,0,0,0,0,0,1,0
PGC 35370  ,PGC0035370,E,1,0,0,0,0,0,0,0,0
PGC 47589  ,PGC0047589,Sb,0,0,0,0,0,0,0,1,0
PGC 55792  ,PGC0055792,Sb,0,0,0,0,0,0,0,1,0
PGC 35203  ,PGC0035203,E,1,0,0,0,0,0,0,0,0
PGC 36444  ,PGC0036444,E,1,0,0,0,0,0,0,0,0
PGC 47438  ,PGC0047438,Sb,0,0,0,0,0,0,0,1,0
PGC 40956  ,PGC0040956,S0,0,0,1,0,0,0,0,0,0
PGC 37757  ,PGC0037757,E,1,0,0,0,0,0,0,0,0
PGC 36580  ,PGC0036580,SBb,0,0,0,0,1,0,0,0,0
PGC 35729  ,PGC0035729,S0,0,0,1,0,0,0,0,0,0
PGC 34982  ,PGC0034982,SBb,0,0,0,0,1,0,0,0,0
PGC 40789  ,PGC0040789,Sc,0,0,0,0,0,0,0,0,1
PGC 49415  ,PGC0049415,Sa,0,0,0,0,0,0,1,0,0
PGC 53383  ,PGC0053383,SBc,0,0,0,0,0,1,0,0,0
PGC 55318  ,PGC0055318,Sc,0,0,0,0,0,0,0,0,1
PGC 49978  ,PGC0049978,Sb,0,0,0,0,0,0,0,1,0
PGC 54911  ,PGC0054911,Sb,0,0,0,0,0,0,0,1,0
PGC 42173  ,PGC0042173,E,1,0,0,0,0,0,0,0,0
PGC 35217  ,PGC0035217,Sb,0,0,0,0,0,0,0,1,0
PGC 40658  ,PGC0040658,Irr,0,1,0,0,0,0,0,0,0
PGC 37914  ,PGC0037914,Irr,0,1,0,0,0,0,0,0,0
PGC 37548  ,PGC0037548,SBb,0,0,0,0,1,0,0,0,0
PGC 49533  ,PGC0049533,SBb,0,0,0,0,1,0,0,0,0
PGC 37614  ,PGC0037614,Sc,0,0,0,0,0,0,0,0,1
PGC 46336  ,PGC0046336,Sc,0,0,0,0,0,0,0,0,1
PGC 56257  ,PGC0056257,Sc,0,0,0,0,0,0,0,0,1
PGC 42747  ,PGC0042747,Sc,0,0,0,0,0,0,0,0,1
PGC 5326   ,PGC0005326,E,1,0,0,0,0,0,0,0,0
PGC 65718  ,PGC0065718,SBa,0,0,0,1,0,0,0,0,0
PGC 1713   ,PGC0001713,Sc,0,0,0,0,0,0,0,0,1
PGC 23918  ,PGC0023918,SBa,0,0,0,1,0,0,0,0,0
PGC 49362  ,PGC0049362,Sb,0,0,0,0,0,0,0,1,0
PGC 11000  ,PGC0011000,Sc,0,0,0,0,0,0,0,0,1
PGC 43198  ,PGC0043198,Sc,0,0,0,0,0,0,0,0,1
PGC 36061  ,PGC0036061,Sa,0,0,0,0,0,0,1,0,0
PGC 42614  ,PGC0042614,SBa,0,0,0,1,0,0,0,0,0
PGC 67672  ,PGC0067672,SBc,0,0,0,0,0,1,0,0,0
PGC 11919  ,PGC0011919,Sb,0,0,0,0,0,0,0,1,0
PGC 9414   ,PGC0009414,Sc,0,0,0,0,0,0,0,0,1
PGC 53278  ,PGC0053278,Irr,0,1,0,0,0,0,0,0,0
PGC 5449   ,PGC0005449,E,1,0,0,0,0,0,0,0,0
PGC 37764  ,PGC0037764,SBc,0,0,0,0,0,1,0,0,0
PGC 12531  ,PGC0012531,Sb,0,0,0,0,0,0,0,1,0
PGC 9549   ,PGC0009549,Sa,0,0,0,0,0,0,1,0,0
PGC 36903  ,PGC0036903,Sb,0,0,0,0,0,0,0,1,0
PGC 34996  ,PGC0034996,Sb,0,0,0,0,0,0,0,1,0
PGC 7748   ,PGC0007748,E,1,0,0,0,0,0,0,0,0
PGC 36941  ,PGC0036941,S0,0,0,1,0,0,0,0,0,0
PGC 1805   ,PGC0001805,Sb,0,0,0,0,0,0,0,1,0
PGC 5436   ,PGC0005436,S0,0,0,1,0,0,0,0,0,0
PGC 6986   ,PGC0006986,Sa,0,0,0,0,0,0,1,0,0
PGC 5830   ,PGC0005830,SBa,0,0,0,1,0,0,0,0,0
PGC 37971  ,PGC0037971,Sb,0,0,0,0,0,0,0,1,0
PGC 36928  ,PGC0036928,Sa,0,0,0,0,0,0,1,0,0
PGC 39495  ,PGC0039495,Sb,0,0,0,0,0,0,0,1,0
PGC 68552  ,PGC0068552,SBc,0,0,0,0,0,1,0,0,0
PGC 12620  ,PGC0012620,Sc,0,0,0,0,0,0,0,0,1
PGC 45644  ,PGC0045644,Sc,0,0,0,0,0,0,0,0,1
PGC 70098  ,PGC0070098,Sa,0,0,0,0,0,0,1,0,0
PGC 23485  ,PGC0023485,SBc,0,0,0,0,0,1,0,0,0
PGC 47709  ,PGC0047709,Sa,0,0,0,0,0,0,1,0,0
PGC 5838   ,PGC0005838,Sa,0,0,0,0,0,0,1,0,0
PGC 4484   ,PGC0004484,S0,0,0,1,0,0,0,0,0,0
PGC 69347  ,PGC0069347,SBc,0,0,0,0,0,1,0,0,0
PGC 69829  ,PGC0069829,SBc,0,0,0,0,0,1,0,0,0
PGC 35227  ,PGC0035227,Irr,0,1,0,0,0,0,0,0,0
PGC 56025  ,PGC0056025,SBb,0,0,0,0,1,0,0,0,0
PGC 72922  ,PGC0072922,SBa,0,0,0,1,0,0,0,0,0
PGC 10747  ,PGC0010747,Sc,0,0,0,0,0,0,0,0,1
PGC 5539   ,PGC0005539,S0,0,0,1,0,0,0,0,0,0
PGC 45480  ,PGC0045480,Sc,0,0,0,0,0,0,0,0,1
PGC 5688   ,PGC0005688,Sa,0,0,0,0,0,0,1,0,0
PGC 29807  ,PGC0029807,E,1,0,0,0,0,0,0,0,0
PGC 72927  ,PGC0072927,Sb,0,0,0,0,0,0,0,1,0
PGC 40790  ,PGC0040790,SBa,0,0,0,1,0,0,0,0,0
PGC 36187  ,PGC0036187,Sb,0,0,0,0,0,0,0,1,0
PGC 3312   ,PGC0003312,E,1,0,0,0,0,0,0,0,0
PGC 34675  ,PGC0034675,Sb,0,0,0,0,0,0,0,1,0
PGC 40762  ,PGC0040762,Sa,0,0,0,0,0,0,1,0,0
PGC 39714  ,PGC0039714,SBb,0,0,0,0,1,0,0,0,0
PGC 4992   ,PGC0004992,SBb,0,0,0,0,1,0,0,0,0
PGC 10697  ,PGC0010697,SBa,0,0,0,1,0,0,0,0,0
PGC 45491  ,PGC0045491,Sc,0,0,0,0,0,0,0,0,1
PGC 23519  ,PGC0023519,Sb,0,0,0,0,0,0,0,1,0
PGC 4540   ,PGC0004540,Sc,0,0,0,0,0,0,0,0,1
PGC 33812  ,PGC0033812,SBa,0,0,0,1,0,0,0,0,0
PGC 36190  ,PGC0036190,E,1,0,0,0,0,0,0,0,0
PGC 39919  ,PGC0039919,SBa,0,0,0,1,0,0,0,0,0
PGC 39073  ,PGC0039073,Sc,0,0,0,0,0,0,0,0,1
PGC 29889  ,PGC0029889,Sa,0,0,0,0,0,0,1,0,0
PGC 66461  ,PGC0066461,Sb,0,0,0,0,0,0,0,1,0
PGC 33835  ,PGC0033835,SBb,0,0,0,0,1,0,0,0,0
PGC 8439   ,PGC0008439,SBa,0,0,0,1,0,0,0,0,0
PGC 3833   ,PGC0003833,S0,0,0,1,0,0,0,0,0,0
PGC 33510  ,PGC0033510,S0,0,0,1,0,0,0,0,0,0
PGC 32991  ,PGC0032991,Sc,0,0,0,0,0,0,0,0,1
PGC 10647  ,PGC0010647,SBa,0,0,0,1,0,0,0,0,0
PGC 8586   ,PGC0008586,Sa,0,0,0,0,0,0,1,0,0
PGC 39705  ,PGC0039705,Sc,0,0,0,0,0,0,0,0,1
PGC 7046   ,PGC0007046,Irr,0,1,0,0,0,0,0,0,0
PGC 963    ,PGC0000963,Sb,0,0,0,0,0,0,0,1,0
PGC 639    ,PGC0000639,Sa,0,0,0,0,0,0,1,0,0
PGC 10843  ,PGC0010843,Sa,0,0,0,0,0,0,1,0,0
PGC 26576  ,PGC0026576,Sb,0,0,0,0,0,0,0,1,0
PGC 37933  ,PGC0037933,SBb,0,0,0,0,1,0,0,0,0
PGC 52395  ,PGC0052395,SBc,0,0,0,0,0,1,0,0,0
PGC 8526   ,PGC0008526,S0,0,0,1,0,0,0,0,0,0
PGC 39695  ,PGC0039695,E,1,0,0,0,0,0,0,0,0
PGC 5771   ,PGC0005771,Sc,0,0,0,0,0,0,0,0,1
PGC 7979   ,PGC0007979,Sc,0,0,0,0,0,0,0,0,1
PGC 9880   ,PGC0009880,Sc,0,0,0,0,0,0,0,0,1
PGC 29496  ,PGC0029496,SBb,0,0,0,0,1,0,0,0,0
PGC 42791  ,PGC0042791,Sb,0,0,0,0,0,0,0,1,0
PGC 50203  ,PGC0050203,S0,0,0,1,0,0,0,0,0,0
PGC 26234  ,PGC0026234,Sb,0,0,0,0,0,0,0,1,0
PGC 9028   ,PGC0009028,Sc,0,0,0,0,0,0,0,0,1
PGC 50204  ,PGC0050204,Sb,0,0,0,0,0,0,0,1,0
PGC 51645  ,PGC0051645,Sc,0,0,0,0,0,0,0,0,1
PGC 23616  ,PGC0023616,Sb,0,0,0,0,0,0,0,1,0
PGC 9406   ,PGC0009406,Irr,0,1,0,0,0,0,0,0,0
PGC 27331  ,PGC0027331,Irr,0,1,0,0,0,0,0,0,0
PGC 5540   ,PGC0005540,S0,0,0,1,0,0,0,0,0,0
PGC 31236  ,PGC0031236,Sb,0,0,0,0,0,0,0,1,0
PGC 32611  ,PGC0032611,S0,0,0,1,0,0,0,0,0,0
PGC 37810  ,PGC0037810,Sb,0,0,0,0,0,0,0,1,0
PGC 4906   ,PGC0004906,SBa,0,0,0,1,0,0,0,0,0
PGC 41667  ,PGC0041667,Irr,0,1,0,0,0,0,0,0,0
PGC 38720  ,PGC0038720,S0,0,0,1,0,0,0,0,0,0
PGC 10649  ,PGC0010649,E,1,0,0,0,0,0,0,0,0
PGC 10726  ,PGC0010726,SBb,0,0,0,0,1,0,0,0,0
PGC 52826  ,PGC0052826,Sc,0,0,0,0,0,0,0,0,1
PGC 12163  ,PGC0012163,SBb,0,0,0,0,1,0,0,0,0
PGC 3781   ,PGC0003781,Sc,0,0,0,0,0,0,0,0,1
PGC 7328   ,PGC0007328,Sc,0,0,0,0,0,0,0,0,1
PGC 31673  ,PGC0031673,Sa,0,0,0,0,0,0,1,0,0
PGC 11912  ,PGC0011912,SBb,0,0,0,0,1,0,0,0,0
PGC 3451   ,PGC0003451,E,1,0,0,0,0,0,0,0,0
PGC 5056   ,PGC0005056,Sc,0,0,0,0,0,0,0,0,1
PGC 47354  ,PGC0047354,Irr,0,1,0,0,0,0,0,0,0
PGC 31892  ,PGC0031892,SBb,0,0,0,0,1,0,0,0,0
PGC 22883  ,PGC0022883,Sb,0,0,0,0,0,0,0,1,0
PGC 12560  ,PGC0012560,Sc,0,0,0,0,0,0,0,0,1
PGC 41788  ,PGC0041788,SBa,0,0,0,1,0,0,0,0,0
PGC 52550  ,PGC0052550,Sc,0,0,0,0,0,0,0,0,1
PGC 34598  ,PGC0034598,SBb,0,0,0,0,1,0,0,0,0
PGC 11966  ,PGC0011966,S0,0,0,1,0,0,0,0,0,0
PGC 4812   ,PGC0004812,Sb,0,0,0,0,0,0,0,1,0
PGC 34359  ,PGC0034359,S0,0,0,1,0,0,0,0,0,0
PGC 9256   ,PGC0009256,SBb,0,0,0,0,1,0,0,0,0
PGC 52455  ,PGC0052455,Sa,0,0,0,0,0,0,1,0,0
PGC 1058   ,PGC0001058,Sc,0,0,0,0,0,0,0,0,1
PGC 46319  ,PGC0046319,SBb,0,0,0,0,1,0,0,0,0
PGC 2440   ,PGC0002440,Sb,0,0,0,0,0,0,0,1,0
PGC 4363   ,PGC0004363,E,1,0,0,0,0,0,0,0,0
PGC 10559  ,PGC0010559,Sa,0,0,0,0,0,0,1,0,0
PGC 26258  ,PGC0026258,SBa,0,0,0,1,0,0,0,0,0
PGC 10634  ,PGC0010634,S0,0,0,1,0,0,0,0,0,0
PGC 7574   ,PGC0007574,Sa,0,0,0,0,0,0,1,0,0
PGC 8876   ,PGC0008876,Sa,0,0,0,0,0,0,1,0,0
PGC 4376   ,PGC0004376,E,1,0,0,0,0,0,0,0,0
PGC 44066  ,PGC0044066,Irr,0,1,0,0,0,0,0,0,0
PGC 12017  ,PGC0012017,SBa,0,0,0,1,0,0,0,0,0
PGC 48207  ,PGC0048207,Sa,0,0,0,0,0,0,1,0,0
PGC 41911  ,PGC0041911,Sb,0,0,0,0,0,0,0,1,0
PGC 1747   ,PGC0001747,SBb,0,0,0,0,1,0,0,0,0
PGC 58491  ,PGC0058491,Sc,0,0,0,0,0,0,0,0,1
PGC 38018  ,PGC0038018,E,1,0,0,0,0,0,0,0,0
PGC 57582  ,PGC0057582,Sc,0,0,0,0,0,0,0,0,1
PGC 36102  ,PGC0036102,Sb,0,0,0,0,0,0,0,1,0
PGC 33421  ,PGC0033421,Sa,0,0,0,0,0,0,1,0,0
PGC 31689  ,PGC0031689,E,1,0,0,0,0,0,0,0,0
PGC 65905  ,PGC0065905,Sa,0,0,0,0,0,0,1,0,0
PGC 11007  ,PGC0011007,Irr,0,1,0,0,0,0,0,0,0
PGC 12262  ,PGC0012262,Sc,0,0,0,0,0,0,0,0,1
PGC 38746  ,PGC0038746,SBb,0,0,0,0,1,0,0,0,0
PGC 65398  ,PGC0065398,Irr,0,1,0,0,0,0,0,0,0
PGC 69630  ,PGC0069630,S0,0,0,1,0,0,0,0,0,0
PGC 3830   ,PGC0003830,E,1,0,0,0,0,0,0,0,0
PGC 7090   ,PGC0007090,E,1,0,0,0,0,0,0,0,0
PGC 7740   ,PGC0007740,Sc,0,0,0,0,0,0,0,0,1
PGC 2597   ,PGC0002597,Sc,0,0,0,0,0,0,0,0,1
PGC 57338  ,PGC0057338,Irr,0,1,0,0,0,0,0,0,0
PGC 7741   ,PGC0007741,S0,0,0,1,0,0,0,0,0,0
PGC 33817  ,PGC0033817,Sc,0,0,0,0,0,0,0,0,1
